organism,length_mean,length_sd,A_count_mean,A_count_sd,A_fraction_mean,A_fraction_sd,V_count_mean,V_count_sd,V_fraction_mean,V_fraction_sd,L_count_mean,L_count_sd,L_fraction_mean,L_fraction_sd,I_count_mean,I_count_sd,I_fraction_mean,I_fraction_sd,M_count_mean,M_count_sd,M_fraction_mean,M_fraction_sd,F_count_mean,F_count_sd,F_fraction_mean,F_fraction_sd,T_count_mean,T_count_sd,T_fraction_mean,T_fraction_sd,H_count_mean,H_count_sd,H_fraction_mean,H_fraction_sd
Arctopsyche grandis,6034.500,480.126,239.500,16.263,3.971,0.046,504.500,41.719,8.359,0.026,345.000,19.799,5.722,0.127,324.000,22.627,5.371,0.052,1.000,0.000,0.017,0.001,6.500,0.707,0.109,0.020,207.500,14.849,3.440,0.028,189.500,3.536,3.148,0.192
Cheumatopsyche charites,6223.000,0.000,235.000,0.000,3.776,0.000,497.000,0.000,7.987,0.000,259.000,0.000,4.162,0.000,304.000,0.000,4.885,0.000,1.000,0.000,0.016,0.000,198.000,0.000,3.182,0.000,155.000,0.000,2.491,0.000,44.000,0.000,0.707,0.000
Leptonema lineaticorne,6817.000,0.000,335.000,0.000,4.914,0.000,608.000,0.000,8.919,0.000,396.000,0.000,5.809,0.000,366.000,0.000,5.369,0.000,1.000,0.000,0.015,0.000,6.000,0.000,0.088,0.000,192.000,0.000,2.816,0.000,164.000,0.000,2.406,0.000
Limnephilus lunatus,9848.000,0.000,41.000,0.000,0.416,0.000,1031.000,0.000,10.469,0.000,543.000,0.000,5.514,0.000,445.000,0.000,4.519,0.000,1.000,0.000,0.010,0.000,5.000,0.000,0.051,0.000,197.000,0.000,2.000,0.000,11.000,0.000,0.112,0.000
Limnephilus rhombicus,9027.000,0.000,16.000,0.000,0.177,0.000,880.000,0.000,9.749,0.000,692.000,0.000,7.666,0.000,309.000,0.000,3.423,0.000,2.000,0.000,0.022,0.000,11.000,0.000,0.122,0.000,125.000,0.000,1.385,0.000,11.000,0.000,0.122,0.000
Limnephilus marmoratus,8774.000,0.000,16.000,0.000,0.182,0.000,907.000,0.000,10.337,0.000,527.000,0.000,6.006,0.000,382.000,0.000,4.354,0.000,1.000,0.000,0.011,0.000,25.000,0.000,0.285,0.000,141.000,0.000,1.607,0.000,13.000,0.000,0.148,0.000
Limnephilus flavicornis,1403.000,0.000,9.000,0.000,0.641,0.000,129.000,0.000,9.195,0.000,67.000,0.000,4.775,0.000,71.000,0.000,5.061,0.000,1.000,0.000,0.071,0.000,5.000,0.000,0.356,0.000,24.000,0.000,1.711,0.000,11.000,0.000,0.784,0.000
Glyphotaelius pellucidus,7864.000,0.000,7.000,0.000,0.089,0.000,816.000,0.000,10.376,0.000,451.000,0.000,5.735,0.000,465.000,0.000,5.913,0.000,1.000,0.000,0.013,0.000,7.000,0.000,0.089,0.000,148.000,0.000,1.882,0.000,11.000,0.000,0.140,0.000
Hesperophylax magnus,7676.000,1340.674,11.500,2.121,0.150,0.001,653.500,115.258,8.512,0.015,597.500,111.016,7.776,0.088,390.500,53.033,5.105,0.201,1.000,0.000,0.013,0.002,4.500,0.707,0.059,0.001,132.500,20.506,1.729,0.035,13.000,0.000,0.172,0.030
Himalopsyche tibetana,6411.000,0.000,153.000,0.000,2.387,0.000,486.000,0.000,7.581,0.000,611.000,0.000,9.530,0.000,413.000,0.000,6.442,0.000,2.000,0.000,0.031,0.000,2.000,0.000,0.031,0.000,178.000,0.000,2.776,0.000,222.000,0.000,3.463,0.000
Atopsyche davidsoni,7435.000,626.497,84.000,7.071,1.130,0.000,387.500,31.820,5.212,0.011,799.500,68.589,10.753,0.016,601.000,49.497,8.084,0.015,3.000,0.000,0.040,0.003,4.000,0.000,0.054,0.005,237.000,18.385,3.189,0.021,522.500,43.134,7.028,0.012
