organism,length_mean,length_sd,A_count_mean,A_count_sd,A_fraction_mean,A_fraction_sd,V_count_mean,V_count_sd,V_fraction_mean,V_fraction_sd,S_count_mean,S_count_sd,S_fraction_mean,S_fraction_sd,R_count_mean,R_count_sd,R_fraction_mean,R_fraction_sd,H_count_mean,H_count_sd,H_fraction_mean,H_fraction_sd
Arctopsyche grandis,6034.500,480.126,239.500,16.263,3.971,0.046,504.500,41.719,8.359,0.026,718.000,57.983,11.898,0.014,597.000,50.912,9.891,0.057,189.500,3.536,3.148,0.192
Cheumatopsyche charites,6223.000,0.000,235.000,0.000,3.776,0.000,497.000,0.000,7.987,0.000,763.000,0.000,12.261,0.000,691.000,0.000,11.104,0.000,44.000,0.000,0.707,0.000
Leptonema lineaticorne,6817.000,0.000,335.000,0.000,4.914,0.000,608.000,0.000,8.919,0.000,755.000,0.000,11.075,0.000,495.000,0.000,7.261,0.000,164.000,0.000,2.406,0.000
Limnephilus lunatus,9848.000,0.000,41.000,0.000,0.416,0.000,1031.000,0.000,10.469,0.000,1697.000,0.000,17.232,0.000,1447.000,0.000,14.693,0.000,11.000,0.000,0.112,0.000
Limnephilus rhombicus,9027.000,0.000,16.000,0.000,0.177,0.000,880.000,0.000,9.749,0.000,1342.000,0.000,14.867,0.000,1151.000,0.000,12.751,0.000,11.000,0.000,0.122,0.000
Limnephilus marmoratus,8774.000,0.000,16.000,0.000,0.182,0.000,907.000,0.000,10.337,0.000,1351.000,0.000,15.398,0.000,1216.000,0.000,13.859,0.000,13.000,0.000,0.148,0.000
Limnephilus flavicornis,1403.000,0.000,9.000,0.000,0.641,0.000,129.000,0.000,9.195,0.000,198.000,0.000,14.113,0.000,160.000,0.000,11.404,0.000,11.000,0.000,0.784,0.000
Glyphotaelius pellucidus,7864.000,0.000,7.000,0.000,0.089,0.000,816.000,0.000,10.376,0.000,1234.000,0.000,15.692,0.000,1183.000,0.000,15.043,0.000,11.000,0.000,0.140,0.000
Hesperophylax magnus,7676.000,1340.674,11.500,2.121,0.150,0.001,653.500,115.258,8.512,0.015,1159.000,200.818,15.101,0.021,979.000,168.291,12.757,0.036,13.000,0.000,0.172,0.030
Himalopsyche tibetana,6411.000,0.000,153.000,0.000,2.387,0.000,486.000,0.000,7.581,0.000,962.000,0.000,15.005,0.000,579.000,0.000,9.031,0.000,222.000,0.000,3.463,0.000
Atopsyche davidsoni,7435.000,626.497,84.000,7.071,1.130,0.000,387.500,31.820,5.212,0.011,688.500,58.690,9.260,0.009,443.000,36.770,5.959,0.008,522.500,43.134,7.028,0.012
