organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Octonoba varians,CySp,3,2.000,0.000,1.869,0.000,642.000
Octonoba varians,CySp,2,32.000,0.000,19.938,0.000,642.000
Octonoba yesoensis,CySp,3,11.000,0.000,5.226,0.000,1263.000
Octonoba yesoensis,CySp,2,54.000,0.000,17.102,0.000,1263.000
Octonoba grandiprojecta,CySp,9,3.000,0.000,10.588,0.000,510.000
Octonoba grandiprojecta,CySp,8,3.000,0.000,9.412,0.000,510.000
Octonoba grandiprojecta,CySp,4,3.000,0.000,4.706,0.000,510.000
Octonoba grandiprojecta,CySp,3,3.000,0.000,3.529,0.000,510.000
Octonoba grandiprojecta,CySp,2,7.000,0.000,5.490,0.000,510.000
Octonoba grandiconcava,CySp,3,10.000,0.000,4.858,0.000,1235.000
Octonoba grandiconcava,CySp,2,59.000,0.000,19.109,0.000,1235.000
Trichonephila clavata,CySp,5,4.000,0.000,5.284,0.000,757.000
Trichonephila clavata,CySp,3,5.000,0.000,3.963,0.000,757.000
Trichonephila clavata,CySp,2,27.000,0.000,14.267,0.000,757.000
