organism,type,x_A,x_V,x_L,x_I,x_M,x_F,x_P,x_G,x_S,x_T,x_C,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_X
Physocyclus mexicanus,AcSp,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,25.000,0.000,25.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000
Octonoba varians,AcSp,24.615,5.385,7.692,6.154,0.000,3.077,0.000,2.308,25.385,5.385,2.308,2.308,2.308,6.923,6.154,0.000,0.000,0.000,0.000
Octonoba okinawensis,AcSp,26.357,6.977,12.403,3.101,0.000,3.101,0.000,0.000,24.031,4.651,2.326,1.550,3.101,6.202,5.426,0.775,0.000,0.000,0.000
Trichonephila clavipes,AcSp,0.000,6.250,0.000,0.000,0.000,0.000,12.500,0.000,12.500,39.583,0.000,0.000,0.000,0.000,0.000,0.000,22.917,6.250,0.000
Argiope trifasciata,AcSp,18.610,3.371,1.168,0.256,0.000,11.908,4.460,9.666,22.174,8.278,0.000,5.227,2.129,7.356,1.327,0.962,0.000,2.425,0.682
Argiope amoena,AcSp,10.714,5.952,5.952,3.571,0.000,9.524,0.000,13.095,38.095,0.000,0.000,0.000,1.190,5.952,0.000,0.000,0.000,5.952,0.000
Argyroneta aquatica,AcSp,5.172,0.000,11.724,3.448,0.000,1.724,10.000,1.724,28.966,6.897,0.000,1.724,11.724,5.172,10.000,0.000,0.000,1.724,0.000
Octonoba yesoensis,AcSp,25.153,4.908,14.110,3.681,0.000,2.454,0.000,2.454,19.018,9.816,2.454,1.840,2.454,6.135,5.521,0.000,0.000,0.000,0.000
Octonoba sybotides,AcSp,26.658,3.634,9.090,4.648,0.407,2.224,0.407,2.018,19.600,12.122,0.000,2.324,2.424,9.090,4.949,0.000,0.407,0.000,0.000
Octonoba grandiprojecta,AcSp,20.166,2.922,17.929,1.948,0.000,1.299,5.556,0.325,22.799,13.709,1.299,0.000,1.299,3.247,1.948,0.000,5.556,0.000,0.000
Octonoba grandiconcava,AcSp,25.828,5.960,9.934,5.298,0.000,2.649,1.987,4.636,21.192,5.298,1.987,2.649,1.987,5.298,5.298,0.000,0.000,0.000,0.000
Steatoda grossa,AcSp,0.000,7.143,3.846,0.000,3.846,14.835,3.846,14.835,14.835,25.824,0.000,0.000,7.143,3.846,0.000,0.000,0.000,0.000,0.000
Parasteatoda tepidariorum,AcSp,3.755,4.167,9.409,2.083,1.190,1.190,2.381,18.223,15.842,2.381,0.000,0.000,8.219,2.083,8.700,7.212,7.326,5.838,0.000
Latrodectus hesperus,AcSp,6.049,18.971,7.649,1.604,0.535,0.000,0.535,16.307,20.069,14.976,0.000,0.000,6.499,0.000,6.272,0.000,0.535,0.000,0.000
Latrodectus geometricus,AcSp,11.429,5.714,8.466,7.407,3.704,0.000,3.704,17.513,11.429,8.466,0.000,0.000,9.048,0.000,5.714,0.000,3.704,3.704,0.000
Nephila pilipes,AcSp,0.000,16.667,0.000,0.000,0.000,0.000,25.000,8.333,8.333,16.667,0.000,0.000,0.000,0.000,8.333,0.000,8.333,8.333,0.000
Parawixia bistriata,AcSp,2.703,0.000,8.108,0.000,0.000,10.811,0.000,8.108,40.541,18.919,0.000,0.000,0.000,8.108,2.703,0.000,0.000,0.000,0.000
Argiope aurantia,AcSp,13.034,1.471,0.000,3.261,0.000,13.932,6.522,12.881,13.770,4.889,0.000,3.261,6.522,10.132,3.261,3.261,0.000,3.261,0.543
Argiope argentata,AcSp,20.438,2.976,1.291,0.000,0.000,9.744,3.278,16.865,15.056,10.559,0.000,2.304,3.889,6.269,1.190,3.161,0.000,2.980,0.000
Araneus ventricosus,AcSp,1.250,0.000,11.250,0.000,0.000,12.500,0.000,1.250,47.500,11.250,0.000,0.000,0.000,12.500,2.500,0.000,0.000,0.000,0.000
Araneus diadematus,AcSp,20.562,1.190,0.000,0.000,0.000,10.364,14.021,7.798,15.364,8.697,0.000,0.000,1.852,3.968,7.983,1.190,0.000,7.011,0.000
