organism,type,x_A,x_V,x_L,x_I,x_M,x_F,x_W,x_P,x_G,x_S,x_T,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_H
Octonoba varians,PySp,11.111,11.111,0.000,0.000,0.000,0.000,0.000,0.000,11.111,11.111,11.111,0.000,11.111,22.222,0.000,11.111,0.000,0.000,0.000
Trichonephila clavipes,PySp,12.255,5.336,12.354,11.611,0.741,0.000,0.000,2.526,7.789,12.107,0.000,0.421,5.193,26.116,0.215,0.000,0.741,2.596,0.000
Argiope trifasciata,PySp,12.500,2.083,8.333,2.083,2.083,0.000,0.000,2.083,16.667,31.250,2.083,2.083,4.167,8.333,4.167,0.000,0.000,2.083,0.000
Argyroneta aquatica,PySp,12.620,7.352,6.602,7.704,0.000,0.000,0.000,18.759,0.000,16.037,5.269,2.083,1.333,4.519,3.185,9.269,3.185,2.083,0.000
Cybaeus angustiarum,PySp,21.071,4.786,8.786,3.000,1.000,0.000,0.000,0.000,3.571,23.286,6.000,1.786,2.000,1.000,7.357,7.571,4.000,2.786,2.000
Octonoba yesoensis,PySp,12.500,12.500,0.000,0.000,0.000,0.000,0.000,0.000,12.500,12.500,12.500,0.000,0.000,25.000,0.000,12.500,0.000,0.000,0.000
Octonoba grandiprojecta,PySp,10.000,10.000,0.000,10.000,0.000,0.000,0.000,0.000,10.000,10.000,10.000,0.000,10.000,20.000,0.000,10.000,0.000,0.000,0.000
Octonoba grandiconcava,PySp,10.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,10.000,10.000,0.000,10.000,20.000,0.000,20.000,0.000,0.000,0.000
Steatoda grossa,PySp,14.286,0.000,10.714,0.000,0.000,0.000,0.000,0.000,13.095,39.286,8.333,2.381,2.381,0.000,0.000,4.762,0.000,0.000,4.762
Parasteatoda tepidariorum,PySp,0.000,0.000,33.333,0.000,0.000,0.000,0.000,0.000,33.333,0.000,0.000,0.000,33.333,0.000,0.000,0.000,0.000,0.000,0.000
Latrodectus hesperus,PySp,11.458,1.786,8.690,0.000,0.000,0.000,0.000,0.000,3.452,21.875,2.679,3.452,1.518,14.732,0.000,10.208,2.560,3.185,14.405
Nephilingis cruentata,PySp,15.094,7.547,9.434,13.208,0.000,0.000,0.000,3.774,5.660,16.981,7.547,0.000,3.774,15.094,1.887,0.000,0.000,0.000,0.000
Argiope argentata,PySp,12.121,6.061,9.091,3.030,3.030,0.000,0.000,3.030,15.152,24.242,6.061,0.000,6.061,9.091,3.030,0.000,0.000,0.000,0.000
Araneus gemmoides,PySp,5.882,5.882,17.647,17.647,0.000,0.000,0.000,0.000,0.000,23.529,0.000,0.000,5.882,23.529,0.000,0.000,0.000,0.000,0.000
Araneus diadematus,PySp,9.583,6.250,3.333,0.000,3.333,3.333,6.250,6.667,6.667,28.750,3.333,0.000,12.917,0.000,0.000,3.333,6.250,0.000,0.000
